"Год","Регион","salary","invest"
2004,"г.Москва",20899.1,69669.3
2004,"Московская область",5821.1,38652.9
2004,"Мурманская область",8366.5,61.7
2004,"Новгородская область",4363.3,1064.7
2004,"Приморский край",5405,2470.3
2004,"Новосибирская обл...",4968.7,2884.6
2004,"Омская область",5427.1,3642.2
2004,"Оренбургская область",3872.9,3318.5
2004,"Орловская область",3879,2687.5
2004,"Пензенская область",3421,1916.8
2004,"Пермский край",6371.5,3066.2
2004,"Коми-Пермяцкий ав...",2309.3,48.9
2004,"Псковская область",4293.6,818.8
2004,"Ростовская область",5038.1,9794.3
2004,"Рязанская область",3638.8,1224.7
2004,"Саратовская область",3995,2397.1
2004,"Сахалинская область",9488.3,1176
2004,"Свердловская область",6743.3,7744.5
2004,"Смоленская область",4429,1647.5
2004,"Тамбовская область",4050.9,2758.3
2004,"Томская область",6472.7,1273.5
2004,"Ставропольский край",3886.1,4393.4
2004,"Тульская область",3988.9,1673.1
2004,"Тюменская область",12190.7,19411.8
2004,"Ханты-Мансийский ...",14971.6,11693.3
2004,"Ямало-Ненецкий ав...",18868.1,3802
2004,"Ульяновская область",3668.5,1385
2004,"Челябинская область",4819.8,5399.9
2004,"Забайкальский край",4799.7,1168.2
2004,"Агинский Бурятски...",4182.7,126.2
2004,"Чукотский авт.округ",15041.8,1499.9
2004,"Ярославская область",5094.6,1705.2
2004,"Республика Адыгея",3080.3,353.9
2004,"Хабаровский край",7596.9,3034.1
2004,"Республика Башкор...",5156.6,10811.5
2004,"Республика Бурятия",4671.9,655.7
2004,"Республика Дагестан",3311.2,4023.6
2004,"Кабардино-Балкарс...",3159.9,1860.9
2004,"Республика Алтай",3419.4,339.3
2004,"Республика Калмыкия",2312.1,227.2
2004,"Республика Карелия",5809.2,1072.9
2004,"Республика Коми",9300.6,1258.2
2004,"Республика Марий Эл",2566.6,1172.1
2004,"Республика Мордовия",3266.3,1015.4
2004,"Республика Северн...",4085.8,688.5
2004,"Карачаево-Черкесс...",3343.7,350.4
2004,"Республика Татарстан",5355,17758.1
2004,"Республика Тыва",3384.9,119.3
2004,"Удмуртская Респуб...",3684.8,1820.5
2004,"Республика Хакасия",4440.9,671.4
2004,"Чувашская Республика",3188.4,4201.4
2004,"Республика Саха (...",9633.2,2624.4
2004,"Еврейская автоном...",4974.7,93.4
2005,"Алтайский край",4639.7,3342.9
2005,"Амурская область",5987.7,1753.6
2005,"Ненецкий авт.округ",21501.8,824.5
2005,"Астраханская область",5636.4,6502.7
2005,"Белгородская область",5275.8,3305.4
2005,"Брянская область",4787.7,1574.2
2005,"Владимирская область",4107.5,1730.9
2005,"Волгоградская обл...",5908.1,3420.8
2005,"Вологодская область",6344.9,2052.3
2005,"Воронежская область",5398,5923.2
2005,"Нижегородская обл...",6056.9,8294.5
2005,"Ивановская область",3480.3,1282.7
2005,"Иркутская область",7119.5,3324
2005,"Усть-Ордынский Бу...",2220.3,29.1
2005,"Республика Ингушетия",2737.3,239.6
2005,"Калининградская о...",6481.1,1964.4
2005,"Тверская область",5606.1,3666.5
2005,"Калужская область",5343.4,3531.7
2005,"Краснодарский край",5545.2,23269.2
2005,"Камчатский край",11167.2,225.6
2005,"Корякский авт.округ",12907.5,0.2
2005,"Кемеровская область",7888.6,6622.8
2005,"Кировская область",4644.3,1865.2
2005,"Костромская область",4985.4,922
2005,"Самарская область",9264.1,7050
2005,"Курганская область",4799.9,878
2005,"Курская область",5217.8,2647.9
2005,"Красноярский край",7790.2,6505
2005,"г.Санкт-Петербург",12263.7,11335.8
2005,"Таймырский (Долга...",12168.1,14.6
2005,"Ленинградская обл...",5686.5,7412.1
2005,"Эвенкийский авт.о...",10361.3,194.1
2005,"Липецкая область",5591.2,4732.5
2005,"Магаданская область",11166.7,181.3
2005,"г.Москва",24013.9,77984.1
2005,"Московская область",7444.8,40503
2005,"Мурманская область",10624.1,242.7
2005,"Новгородская область",5475.6,1848.7
2005,"Приморский край",7162.9,4721.5
2005,"Новосибирская обл...",6638.8,3395.9
2005,"Омская область",6969.1,8563.5
2005,"Оренбургская область",5122.3,4571.5
2005,"Орловская область",4856.5,3793.7
2005,"Пензенская область",4354.7,3399.9
2005,"Пермский край",8273.2,4218.7
2005,"Псковская область",4926.8,632.9
2005,"Ростовская область",6359.7,11711
2005,"Рязанская область",4775.1,1528.5
